Title,Brand,Rating,Reviews,Selling Price,Product URL,Image URL
HappyBuddy Talking Plush Toy Lenny The Lion | Soft Toy for Kids 1-5 Years Age,HappyBuddy,0.0,0,999,https://www.amazon.in/dp/B0F4NGGGDQ,https://m.media-amazon.com/images/I/612RyncKUIL._AC_UL320_.jpg
HappyBuddy Talking Plush Toy Dottie The Deer | Soft Toy for Kids 1-5 Years Age,HappyBuddy,0.0,0,999,https://www.amazon.in/dp/B0F4NGHPX7,https://m.media-amazon.com/images/I/61TUInLnqIL._AC_UL320_.jpg
"Amazon Brand - Jam & Honey Dinosaur, Cute, Plush/Soft Toy, Suitable for Boys, Girls and Kids, Super-Soft, Safe, 34 cm (Green & Yellow)",Amazon Brand - Jam & Honey,4.4,13343,225,https://www.amazon.in/dp/B0CCD1SVCC,https://m.media-amazon.com/images/I/81c5rU7uWgL._AC_UL320_.jpg
"CLICK4DEAL mini Stuffed Soft Toy for Kids Multicolour, 52 cm cheracter Toy",CLICK4DEAL,4.1,519,1199,https://www.amazon.in/dp/B097K5WW34,https://m.media-amazon.com/images/I/41R7MCUXJDL._AC_UL320_.jpg
TechMax Solution The Perfect Grey Long Dog Plush Pillow for Snuggly Nights and Sweet Dreams an for Anyone in Need of Cuddly Comfort,TechMax Solution,4.1,8,998,https://www.amazon.in/dp/B0D2NKDNYZ,https://m.media-amazon.com/images/I/410D7Ai+SFL._AC_UL320_.jpg
"Panda's Box Mantra Chanting Devi Durga Toy – Small (22 cm) | Plush Sound Toy for Kids | Musical Stuffed Toy | Best Gift for Infants, Toddlers & Babies",Panda's Box,4.6,36,949,https://www.amazon.in/dp/B0F63481JH,https://m.media-amazon.com/images/I/61O8cugz00L._AC_UL320_.jpg
HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Toy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 4 FEET Cream Plush & Stuffed Toys,HUG 'n' FEEL SOFT TOYS,4.4,2,1044,https://www.amazon.in/dp/B09BL7H2JD,https://m.media-amazon.com/images/I/710jBD4M2ML._AC_UL320_.jpg
Storio Toy Cute Rainbow Colored Huggable Teddy Bear | 30 cm | Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids - Teddy | Best Valentine Gift,Storio,4.2,1687,329,https://www.amazon.in/dp/B0CQG8TQYS,https://m.media-amazon.com/images/I/61paoQad7gL._AC_UL320_.jpg
"Panda's Box Mantra Chanting Baby Krishna (28 CM) | Musical Soft Plush Toy | Best Gift for Infants, Toddlers & Babies",Panda's Box,4.4,450,998,https://www.amazon.in/dp/B09VDCSCWF,https://m.media-amazon.com/images/I/61jPVSAWcdL._AC_UL320_.jpg
LOVEY DOVEY Super Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Teddy Bear easly Washable 100% Child Safe Best Gift for Birthday Gift Valentine Gift for Girlfriend 6 FEET Pink,LOVEY DOVEY,3.5,500,2199,https://www.amazon.in/dp/B09NC2ZHFF,https://m.media-amazon.com/images/I/619s8Q+jcNL._AC_UL320_.jpg
